      133.801910	-7.283346	133.405838	-14.559510	
267.010162	-21.828505	265.428223	-36.316265	
399.230927	-43.592472	395.680359	-65.163017	
530.073303	-72.510902	523.782959	-100.971794	
659.150452	-108.498306	649.365479	-143.594467	
786.080750	-151.448288	772.067017	-192.863205	
910.488953	-201.233856	891.537537	-248.591187	
1032.007202	-257.707825	1007.438721	-310.573242	
1150.276245	-320.703247	1119.444946	-378.586639	
1264.946533	-390.033875	1227.244507	-452.391693	
1375.678955	-465.494720	1330.539673	-531.732788	
1482.146118	-546.862671	1429.048462	-616.339050	
1584.033325	-633.897217	1522.505005	-705.925476	
1681.039307	-726.341003	1610.659912	-800.193726	
1772.877197	-823.920715	1693.281250	-898.833069	
1859.275513	-926.347900	1770.155518	-1001.521545	
1939.978882	-1033.319702	1841.087524	-1107.926880	
2014.748657	-1144.519897	1905.901245	-1217.707764	
2083.363770	-1259.619629	1964.440186	-1330.514404	
2145.621582	-1378.278687	2016.567627	-1445.990356	
2201.337646	-1500.146240	2062.166992	-1563.773071	
2250.347412	-1624.862061	2101.142090	-1683.495605	
2292.506104	-1752.057373	2133.417480	-1804.787109	
2327.688965	-1881.356079	2158.938232	-1927.274048	
2355.791992	-2012.375977	2177.669922	-2050.582275	
2376.732178	-2144.729736	2189.599365	-2174.336670	
2390.447510	-2278.025879	2194.733398	-2298.163574	
2396.897461	-2411.870605	2193.099609	-2421.691650	
2396.062988	-2545.867920	2184.745850	-2544.551758	
2387.946533	-2679.621826	2169.739746	-2666.380615	
2372.572021	-2812.736816	2148.168701	-2786.818848	
2349.985107	-2944.819580	2120.139648	-2905.514404	
2320.252441	-3075.479248	2085.777832	-3022.122559	
2283.461914	-3204.329834	2045.227051	-3136.306885	
2239.722168	-3330.990234	1998.648926	-3247.740234	
2189.162842	-3455.085938	1946.222534	-3356.106445	
2131.933105	-3576.250244	1888.142822	-3461.100342	
2068.202393	-3694.124756	1824.621216	-3562.428467	
1998.158936	-3808.361084	1755.883789	-3659.811035	
1922.009888	-3918.621338	1682.171143	-3752.981445	
1839.980347	-4024.579590	1603.737183	-3841.687744	
1752.312866	-4125.922852	1520.848633	-3925.693359	
1659.266724	-4222.351074	1433.784058	-4004.776855	
1561.116943	-4313.579590	1342.832397	-4078.733887	
1458.153687	-4399.338379	1248.292969	-4147.375977	
1350.681274	-4479.374023	1150.473389	-4210.533203	
1239.017578	-4553.449707	1049.689819	-4268.052246	
1123.492676	-4621.346680	946.264832	-4319.797852	
1004.448120	-4682.864258	840.527161	-4365.654785	
882.235840	-4737.820312	732.810059	-4405.524414	
757.217163	-4786.052246	623.450806	-4439.327148	
629.761719	-4827.417969	512.789368	-4467.003418	
500.246338	-4861.794922	401.167206	-4488.512207	
369.053925	-4889.081543	288.926575	-4503.831055	
236.572327	-4909.196777	176.409195	-4512.956543	
103.193237	-4922.081543	63.955368	-4515.903809	
-30.689022	-4927.697754	-48.097157	-4512.707031	
-164.678619	-4926.028809	-159.414108	-4503.418945	
-298.379425	-4917.079590	-269.665741	-4488.109863	
-431.396149	-4900.876465	-378.527832	-4466.868164	
-563.335571	-4877.467285	-485.682587	-4439.799316	
-693.807556	-4846.921387	-590.819519	-4407.025879	
-822.426392	-4809.329102	-693.636536	-4368.687500	
